OBJECTID,NOMDIS,CODBAR,CODDISTRIT,CODBARRIO,NOMBRE,Shape_area,Shape_len,n_listings_airbn
1,Centro,011,01,1-1,Palacio,1469906.05229,5754.82821,1658
2,Centro,012,01,1-2,Embajadores,1033724.33312,4275.22673,3012
3,Centro,013,01,1-3,Cortes,591874.25584,3731.08126,1104
4,Centro,014,01,1-4,Justicia,739414.01408,3597.42108,1316
5,Centro,015,01,1-5,Universidad,948026.71297,4060.07553,2228
6,Centro,016,01,1-6,Sol,445300.84236,2719.29244,1537
7,Arganzuela,021,02,2-1,Imperial,967678.64748,4557.93797,154
8,Arganzuela,022,02,2-2,Acacias,1073437.86736,3950.32695,226
9,Arganzuela,023,02,2-3,Chopera,567787.00815,3203.40862,167
10,Arganzuela,024,02,2-4,Legazpi,1414470.59518,5141.64090,55
11,Arganzuela,025,02,2-5,Delicias,1054678.79297,4818.00275,205
12,Arganzuela,026,02,2-6,Palos de Moguer,648442.55555,3647.74655,403
13,Arganzuela,027,02,2-7,Atocha,735680.61506,4957.68742,18
14,Retiro,031,03,3-1,Pacífico,758250.32501,4017.27788,232
15,Retiro,032,03,3-2,Adelfas,640789.18476,3584.88635,85
16,Retiro,033,03,3-3,Estrella,1025524.26656,4441.31055,32
17,Retiro,034,03,3-4,Ibiza,491968.66522,2912.81595,181
18,Retiro,035,03,3-5,Jerónimos,1906398.12100,5287.48508,130
19,Retiro,036,03,3-6,Niño Jesús,643280.60428,3545.83250,47
20,Salamanca,041,04,4-1,Recoletos,873144.95087,3926.67796,293
21,Salamanca,042,04,4-2,Goya,770293.58074,3473.08465,377
22,Salamanca,043,04,4-3,Fuente del Berro,852575.78557,3886.35062,135
23,Salamanca,044,04,4-4,Guindalera,1602789.67781,5192.25249,301
24,Salamanca,045,04,4-5,Lista,520214.47182,3233.58375,191
25,Salamanca,046,04,4-6,Castellana,773385.20410,3746.20634,178
26,Chamartín,051,05,5-1,El Viso,1709233.10074,5270.83070,62
27,Chamartín,052,05,5-2,Prosperidad,1040058.27724,5253.17293,164
28,Chamartín,053,05,5-3,Ciudad Jardín,762309.33810,3915.01631,92
29,Chamartín,054,05,5-4,Hispanoamérica,1712523.13874,6079.00492,105
30,Chamartín,055,05,5-5,Nueva España,1790094.40471,5591.54143,80
31,Chamartín,056,05,5-6,Castilla,2161263.52602,6783.48074,50
32,Tetuán,061,06,6-1,Bellas Vistas,715169.94726,3433.62711,151
33,Tetuán,062,06,6-2,Cuatro Caminos,1185034.06501,4354.62118,207
34,Tetuán,063,06,6-3,Castillejos,704681.51910,3547.92722,130
35,Tetuán,064,06,6-4,Almenara,999367.29626,4011.78418,93
36,Tetuán,065,06,6-5,Valdeacederas,1163408.73162,5027.59695,92
37,Tetuán,066,06,6-6,Berruguete,607063.35709,3421.08728,96
38,Chamberí,071,07,7-1,Gaztambide,506477.91002,2969.10917,237
39,Chamberí,072,07,7-2,Arapiles,578229.69918,3096.14982,238
40,Chamberí,073,07,7-3,Trafalgar,611878.36268,3505.63619,464
41,Chamberí,074,07,7-4,Almagro,937940.41449,4073.71405,214
42,Chamberí,075,07,7-5,Rios Rosas,975419.88365,4063.12106,145
43,Chamberí,076,07,7-6,Vallehermoso,1069238.72187,4220.26351,94
44,Fuencarral - El Pardo,081,08,8-1,El Pardo,187583377.07000,87226.07177,3
45,Fuencarral - El Pardo,082,08,8-2,Fuentelareina,1382643.71465,7691.86614,6
46,Fuencarral - El Pardo,083,08,8-3,Peñagrande,2887271.49611,7271.45694,66
47,Fuencarral - El Pardo,084,08,8-4,Pilar,1363211.90087,5160.91219,48
48,Fuencarral - El Pardo,085,08,8-5,La Paz,2154754.90667,6331.49339,30
49,Fuencarral - El Pardo,086,08,8-6,Valverde,8981228.42006,12214.17469,67
50,Fuencarral - El Pardo,087,08,8-7,Mirasierra,6992795.67254,13146.62719,31
51,Fuencarral - El Pardo,088,08,8-8,El Goloso,26493087.53290,26548.95208,13
52,Moncloa - Aravaca,091,09,9-1,Casa de Campo,17460617.63380,19242.53388,130
53,Moncloa - Aravaca,092,09,9-2,Argüelles,757531.16590,5290.48493,426
54,Moncloa - Aravaca,093,09,9-3,Ciudad Universitaria,14250853.06370,19475.73571,67
55,Moncloa - Aravaca,094,09,9-4,Valdezarza,1397455.61392,5347.78239,43
56,Moncloa - Aravaca,095,09,9-5,Valdemarín,3302462.16954,8289.75697,3
57,Moncloa - Aravaca,096,09,9-6,El Plantío,3528174.50832,9950.43942,5
58,Moncloa - Aravaca,097,09,9-7,Aravaca,5834041.57531,10869.46706,34
59,Latina,101,10,10-1,Cármenes,1291998.85169,6182.22480,54
60,Latina,102,10,10-2,Puerta del Angel,1375297.59211,5368.77482,299
61,Latina,103,10,10-3,Lucero,1678995.24798,5498.29710,77
62,Latina,104,10,10-4,Aluche,2849809.95741,7267.78468,84
63,Latina,105,10,10-5,Campamento,9191379.92496,16523.70159,35
64,Latina,106,10,10-6,Cuatro Vientos,5430118.64751,10117.75424,5
65,Latina,107,10,10-7,Aguilas,3609602.77705,7627.75254,30
66,Carabanchel,111,11,11-1,Comillas,666096.19398,4257.85623,134
67,Carabanchel,112,11,11-2,Opañel,1107286.27962,4492.83142,92
68,Carabanchel,113,11,11-3,San Isidro,1899331.82303,6149.55138,215
69,Carabanchel,114,11,11-4,Vista Alegre,1589225.34321,6437.02994,90
70,Carabanchel,115,11,11-5,Puerta Bonita,1608625.58242,5985.24584,48
71,Carabanchel,116,11,11-6,Buenavista,5613180.28010,11586.85691,42
72,Carabanchel,117,11,11-7,Abrantes,1564570.40703,5494.74817,26
73,Usera,121,12,12-1,Orcasitas,1356362.48982,4664.66727,7
74,Usera,122,12,12-2,Orcasur,1387349.53407,6014.65365,22
75,Usera,123,12,12-3,San Fermín,1475399.05227,5876.02591,50
76,Usera,124,12,12-4,Almendrales,780140.85267,3727.30866,58
77,Usera,125,12,12-5,Moscardó,908787.25929,4248.71032,68
78,Usera,126,12,12-6,Zofío,774025.41072,3742.72236,27
79,Usera,127,12,12-7,Pradolongo,1095652.12577,4785.09879,25
80,Puente de Vallecas,131,13,13-1,Entrevías,5971941.49828,11034.98632,26
81,Puente de Vallecas,132,13,13-2,San Diego,1069868.39329,4726.31062,136
82,Puente de Vallecas,133,13,13-3,Palomeras Bajas,1723868.68635,5649.53406,63
83,Puente de Vallecas,134,13,13-4,Palomeras Sureste,3108597.57920,7823.24951,34
84,Puente de Vallecas,135,13,13-5,Portazgo,1245260.46297,4834.74439,40
85,Puente de Vallecas,136,13,13-6,Numancia,1849069.27171,5364.46082,117
86,Moratalaz,141,14,14-1,Pavones,1009652.17404,4120.64864,6
87,Moratalaz,142,14,14-2,Horcajo,745945.92992,3896.49249,1
88,Moratalaz,143,14,14-3,Marroquina,1790050.82057,6747.79775,12
89,Moratalaz,144,14,14-4,Media Legua,998967.80457,4676.06019,29
90,Moratalaz,145,14,14-5,Fontarrón,964573.75314,6220.55514,35
91,Moratalaz,146,14,14-6,Vinateros,593977.30466,3721.67043,18
92,Ciudad Lineal,151,15,15-1,Ventas,3198035.23986,8207.61957,152
93,Ciudad Lineal,152,15,15-2,Pueblo Nuevo,2319216.89779,7746.68236,92
94,Ciudad Lineal,153,15,15-3,Quintana,723117.50378,4438.48957,85
95,Ciudad Lineal,154,15,15-4,Concepción,885910.73866,5775.72839,78
96,Ciudad Lineal,155,15,15-5,San Pascual,1052724.62142,4456.05235,34
97,Ciudad Lineal,156,15,15-6,San Juan Bautista,1010844.21774,4012.35246,33
98,Ciudad Lineal,157,15,15-7,Colina,559699.30749,3175.56739,28
99,Ciudad Lineal,158,15,15-8,Atalaya,248882.86292,2240.85021,1
100,Ciudad Lineal,159,15,15-9,Costillares,1427246.59546,5635.57463,36
101,Hortaleza,161,16,16-1,Palomas,1129769.62477,4994.62974,19
102,Hortaleza,162,16,16-2,Piovera,3139649.15421,7833.91202,22
103,Hortaleza,163,16,16-3,Canillas,2522509.18085,7568.37764,79
104,Hortaleza,164,16,16-4,Pinar del Rey,2664766.53120,8208.58804,76
105,Hortaleza,165,16,16-5,Apostol Santiago,1205070.01670,4724.24846,19
106,Hortaleza,166,16,16-6,Valdefuentes,16757997.23310,18862.92064,92
107,Villaverde,171,17,17-1,San Andrés,9253553.64137,13726.66040,39
108,Villaverde,172,17,17-2,San Cristobal,1082492.30909,4752.82792,16
109,Villaverde,173,17,17-3,Butarque,6375521.53197,12641.91907,13
110,Villaverde,174,17,17-4,Los Rosales,1540746.88055,5470.26253,31
111,Villaverde,175,17,17-5,Los Angeles,1935271.66796,5703.99898,30
112,Villa de Vallecas,181,18,18-1,Casco Histórico de Vallecas,43045887.44670,39357.26075,19
113,Villa de Vallecas,182,18,18-2,Santa Eugenia,2080233.25047,6793.01707,8
114,Vicálvaro,191,19,19-1,Casco Histórico de Vicálvaro,32834701.93050,33903.20110,28
115,Vicálvaro,192,19,19-2,Ambroz,2432009.90959,8182.47075,16
116,San Blas - Canillejas,201,20,20-1,Simancas,2276342.45458,6683.59913,68
117,San Blas - Canillejas,202,20,20-2,Hellín,550555.49809,3989.90134,13
118,San Blas - Canillejas,203,20,20-3,Amposta,370250.28117,3097.46131,8
119,San Blas - Canillejas,204,20,20-4,Arcos,1305194.31108,5074.86993,20
120,San Blas - Canillejas,205,20,20-5,Rosas,9296500.88610,16073.11018,24
121,San Blas - Canillejas,206,20,20-6,Rejas,5015732.21575,13389.64659,50
122,San Blas - Canillejas,207,20,20-7,Canillejas,1597706.23424,5438.21069,26
123,San Blas - Canillejas,208,20,20-8,Salvador,1880110.25618,6577.50681,17
124,Barajas,211,21,21-1,Alameda de Osuna,1970334.79367,6044.94034,37
125,Barajas,212,21,21-2,Aeropuerto,29626079.06910,28744.07829,9
126,Barajas,213,21,21-3,Casco Histórico de Barajas,549393.99163,3388.64629,31
127,Barajas,214,21,21-4,Timón,5094465.95356,11840.04442,50
128,Barajas,215,21,21-5,Corralejos,4682537.76065,9726.95121,11
112,Villa de Vallecas,183,18,18-3,Ensanche de Vallecas,6341117.83420,14866.71053,39
